id,label,topic,text,length_chars,length_words,quality_score,sentiment,source_detail,timestamp,plagiarism_score,notes
305,human,food,"as someone who follows food, i believe privacy concerns remain a top challenge. i would love to hear others' thoughts on this.",126,22,2.37,0.44,author_50,2023-12-19 11:21:46,0.045,personal_tone
341,ai,travel,analysis indicates that travel is associated with privacy concerns remain a top challenge. community feedback will shape future developments.,141,19,3.44,0.6,gpt-5-base,2024-04-01 17:43:26,0.007,personal_tone
48,human,education,i recently experienced education in my day-to-day life and found that the results are promising but preliminary.,112,17,3.16,-0.43,author_33,2025-08-28 07:56:09,0.163,personal_tone
68,ai,sports,analysis indicates that sports is associated with costs can vary greatly depending on implementation.,101,14,3.32,0.44,claude-2,2023-10-23 14:34:48,0.122,personal_tone
480,human,finance,"in my experience, finance often leads to users report a mixed set of outcomes.",78,14,3.52,-0.31,author_87,2024-11-28 11:31:37,0.105,personal_tone
486,ai,education,analysis indicates that education is associated with privacy concerns remain a top challenge.,93,13,3.42,0.87,gpt-4o-mini,2024-08-04 17:35:42,0.106,personal_tone
311,ai,sports,the following summary on sports shows it requires more data for conclusive evidence. implementation details matter a lot here.,126,19,4.22,0.12,gpt-4o-mini,2023-08-29 00:05:58,0.002,personal_tone
32,ai,science,this article discusses science and highlights that costs can vary greatly depending on implementation. this could change as new data becomes available.,151,22,4.91,-0.2,llama-3-small,2023-04-22 21:43:13,0.065,personal_tone
91,ai,science,research-style summary on science suggests it can be optimized with simple heuristics.,86,12,3.54,-0.45,llama-3-small,2024-05-16 22:24:54,0.061,personal_tone
323,human,entertainment,"after trying several approaches related to entertainment, i noticed costs can vary greatly depending on implementation.",119,16,4.01,-0.06,author_85,2024-04-08 04:09:05,0.034,personal_tone
120,human,lifestyle,my personal opinion on lifestyle is that users report a mixed set of outcomes.,78,14,3.82,-0.41,author_49,2024-12-26 03:05:04,0.108,personal_tone
67,human,finance,"after trying several approaches related to finance, i noticed the community response has been overwhelmingly positive.",118,16,2.14,0.28,author_61,2024-10-12 17:54:11,0.339,personal_tone
306,ai,finance,this article discusses finance and highlights that there are trade-offs to consider.,84,12,4.32,0.29,gpt-5-base,2023-12-12 15:47:21,0.133,personal_tone
190,human,education,"in my experience, education often leads to there are trade-offs to consider.",76,12,3.96,-0.01,author_37,2023-09-03 20:06:02,0.113,personal_tone
435,human,sports,i recently experienced sports in my day-to-day life and found that privacy concerns remain a top challenge.,107,17,3.59,-0.47,author_72,2023-07-23 18:13:41,0.338,personal_tone
290,ai,technology,the following summary on technology shows privacy concerns remain a top challenge. community feedback will shape future developments.,133,18,4.45,0.19,gpt-5-base,2024-08-05 01:03:14,0.026,personal_tone
143,ai,travel,the following summary on travel shows users report a mixed set of outcomes.,75,13,2.8,-0.3,gpt-4o-mini,2023-05-23 08:37:09,0.119,personal_tone
147,ai,health,the following summary on health shows it requires more data for conclusive evidence.,84,13,2.81,-0.15,gpt-5-base,2024-06-30 03:24:05,0.075,personal_tone
294,human,technology,"as someone who follows technology, i believe the community response has been overwhelmingly positive.",101,14,1.53,-0.22,author_91,2025-04-04 11:07:17,0.249,personal_tone
313,ai,travel,this article discusses travel and highlights that the community response has been overwhelmingly positive. further investigation is warranted.,142,18,4.63,-0.06,gpt-4o-mini,2024-11-24 11:23:07,0.064,personal_tone
312,human,lifestyle,"as someone who follows lifestyle, i believe the community response has been overwhelmingly positive.",100,14,1.76,0.49,author_59,2025-07-15 09:19:00,0.226,personal_tone
493,human,lifestyle,"in my experience, lifestyle often leads to users report a mixed set of outcomes.",80,14,2.84,0.39,author_74,2025-01-13 23:12:48,0.059,personal_tone
66,ai,food,analysis indicates that food is associated with adoption increases with better education. further investigation is warranted.,125,16,4.59,0.26,llama-3-small,2025-08-31 00:45:19,0.15,personal_tone
35,ai,food,analysis indicates that food is associated with it can be optimized with simple heuristics.,91,14,4.16,-0.03,llama-3-small,2025-02-05 06:20:10,0.092,personal_tone
343,human,education,"in my experience, education often leads to privacy concerns remain a top challenge.",83,13,4.11,-0.37,author_10,2024-04-15 12:04:38,0.013,personal_tone
174,ai,food,the following summary on food shows adoption increases with better education. further investigation is warranted.,113,15,3.64,0.88,bloomz-7b,2024-01-18 15:08:25,0.105,personal_tone
202,ai,sports,this article discusses sports and highlights that users report a mixed set of outcomes.,87,14,2.63,0.06,claude-2,2025-05-08 02:46:03,0.051,personal_tone
180,ai,sports,this article discusses sports and highlights that it can be optimized with simple heuristics.,93,14,3.85,0.38,claude-2,2023-12-23 04:19:09,0.027,personal_tone
234,human,travel,my personal opinion on travel is that there are trade-offs to consider.,71,12,4.66,-0.35,author_90,2024-02-10 22:46:39,0.107,personal_tone
443,human,food,"in my experience, food often leads to there are trade-offs to consider. community feedback will shape future developments.",122,18,3.77,-0.32,author_21,2024-02-01 17:53:34,0.166,personal_tone
346,ai,sports,this article discusses sports and highlights that it can be optimized with simple heuristics.,93,14,2.84,-0.01,gpt-5-base,2025-03-27 19:52:09,0.044,personal_tone
129,ai,lifestyle,this article discusses lifestyle and highlights that it improves efficiency significantly. further investigation is warranted.,126,15,3.87,0.49,llama-3-small,2024-06-24 15:24:36,0.017,personal_tone
5,ai,health,this article discusses health and highlights that the results are promising but preliminary.,92,13,4.59,-0.36,gpt-4o-mini,2023-12-30 07:37:40,0.101,personal_tone
402,human,finance,i recently experienced finance in my day-to-day life and found that it requires more data for conclusive evidence.,114,18,2.45,0.33,author_7,2023-07-12 11:40:27,0.007,personal_tone
362,human,education,"as someone who follows education, i believe it improves efficiency significantly.",81,11,3.7,-0.54,author_34,2024-08-09 05:20:49,0.02,personal_tone
327,human,entertainment,"after trying several approaches related to entertainment, i noticed it improves efficiency significantly.",105,13,3.01,0.28,author_23,2025-08-04 18:30:28,0.273,personal_tone
431,human,entertainment,"as someone who follows entertainment, i believe it improves efficiency significantly. this could change as new data becomes available.",134,19,4.05,-0.47,author_80,2025-01-27 01:59:08,0.085,personal_tone
468,human,health,"as someone who follows health, i believe privacy concerns remain a top challenge. i would love to hear others' thoughts on this.",128,22,4.0,0.18,author_88,2023-01-05 11:19:20,0.326,personal_tone
331,ai,health,research-style summary on health suggests costs can vary greatly depending on implementation.,93,12,4.17,0.03,bloomz-7b,2025-02-04 19:26:19,0.043,personal_tone
330,ai,science,the following summary on science shows the results are promising but preliminary. this could change as new data becomes available.,130,20,4.8,-0.4,gpt-5-base,2024-12-28 23:40:08,0.146,personal_tone
296,ai,science,research-style summary on science suggests adoption increases with better education.,84,10,3.7,-0.1,llama-3-small,2023-10-11 23:19:24,0.049,personal_tone
417,ai,food,research-style summary on food suggests it improves efficiency significantly. it requires more data for conclusive evidence,123,16,2.69,-0.28,gpt-5-base,2024-06-15 03:32:09,0.015,personal_tone
407,human,travel,my personal opinion on travel is that the community response has been overwhelmingly positive. i would love to hear others' thoughts on this.,141,23,2.26,-0.43,author_22,2024-10-10 15:48:26,0.114,personal_tone
103,human,food,my personal opinion on food is that privacy concerns remain a top challenge. this could change as new data becomes available.,125,21,4.33,0.67,author_83,2025-09-24 22:38:10,0.215,personal_tone
165,ai,finance,this article discusses finance and highlights that it requires more data for conclusive evidence.,97,14,3.37,0.06,claude-2,2023-09-20 17:26:33,0.032,personal_tone
215,human,entertainment,"in my experience, entertainment often leads to costs can vary greatly depending on implementation.",98,14,3.92,-0.37,author_54,2023-01-26 17:34:37,0.037,personal_tone
6,human,science,"as someone who follows science, i believe the results are promising but preliminary.",84,13,4.74,0.43,author_100,2023-08-13 11:48:24,0.295,personal_tone
420,ai,science,analysis indicates that science is associated with costs can vary greatly depending on implementation.,102,14,4.57,-0.11,bloomz-7b,2023-09-04 20:30:12,0.082,personal_tone
450,human,health,i recently experienced health in my day-to-day life and found that there are trade-offs to consider.,100,16,1.8,0.46,author_21,2025-01-14 18:37:45,0.214,personal_tone
335,human,lifestyle,"as someone who follows lifestyle, i believe the community response has been overwhelmingly positive.",100,14,3.77,0.53,author_93,2024-07-13 21:58:07,0.069,personal_tone
301,ai,entertainment,a concise overview of entertainment: there are trade-offs to consider. community feedback will shape future developments.,121,16,4.05,0.11,bloomz-7b,2023-07-19 18:13:18,0.018,personal_tone
18,ai,science,this article discusses science and highlights that there are trade-offs to consider.,84,12,2.54,-0.46,bloomz-7b,2025-02-10 08:36:22,0.025,personal_tone
351,ai,food,the following summary on food shows it can be optimized with simple heuristics. further investigation is warranted.,115,17,4.28,0.36,llama-3-small,2023-10-11 13:05:18,0.02,personal_tone
348,human,sports,"as someone who follows sports, i believe privacy concerns remain a top challenge. further investigation is warranted.",117,17,2.38,-0.43,author_97,2024-11-18 20:39:16,0.298,personal_tone
86,ai,science,analysis indicates that science is associated with privacy concerns remain a top challenge.,91,13,4.56,0.12,llama-3-small,2025-04-05 10:44:44,0.112,personal_tone
258,ai,sports,this article discusses sports and highlights that privacy concerns remain a top challenge.,90,13,4.98,-0.55,claude-2,2024-02-19 16:27:50,0.083,personal_tone
366,ai,finance,this article discusses finance and highlights that adoption increases with better education. community feedback will shape future developments.,143,18,4.69,0.2,gpt-5-base,2025-02-09 04:16:43,0.014,personal_tone
386,human,travel,"after trying several approaches related to travel, i noticed the community response has been overwhelmingly positive.",117,16,2.98,0.03,author_52,2025-02-09 13:33:19,0.128,personal_tone
316,human,finance,"as someone who follows finance, i believe it improves efficiency significantly. community feedback will shape future developments.",130,17,3.49,0.06,author_79,2024-09-17 13:49:34,0.273,personal_tone
390,human,entertainment,my personal opinion on entertainment is that costs can vary greatly depending on implementation.,96,14,4.76,-0.21,author_87,2023-01-21 14:59:30,0.042,personal_tone
340,human,health,"in my experience, health often leads to costs can vary greatly depending on implementation. community feedback will shape future developments.",142,20,2.35,-0.54,author_15,2025-06-25 11:41:05,0.133,personal_tone
285,ai,science,this article discusses science and highlights that the community response has been overwhelmingly positive.,107,14,3.81,0.03,claude-2,2024-02-29 05:26:53,0.022,personal_tone
163,ai,science,analysis indicates that science is associated with costs can vary greatly depending on implementation.,102,14,3.12,0.24,gpt-5-base,2023-08-19 10:50:08,0.116,personal_tone
324,human,technology,my personal opinion on technology is that costs can vary greatly depending on implementation.,93,14,2.52,0.18,author_22,2024-12-19 03:52:15,0.016,personal_tone
325,ai,finance,this article discusses finance and highlights that it can be optimized with simple heuristics.,94,14,2.8,0.68,gpt-5-base,2023-08-09 16:38:25,0.124,personal_tone
148,human,finance,"after trying several approaches related to finance, i noticed adoption increases with better education.",103,14,1.64,0.7,author_99,2023-03-25 01:39:18,0.332,personal_tone
30,human,food,"as someone who follows food, i believe it can be optimized with simple heuristics.",82,14,1.88,0.71,author_59,2025-05-29 17:08:14,0.078,personal_tone
108,human,technology,my personal opinion on technology is that the results are promising but preliminary.,84,13,4.17,-0.17,author_56,2023-05-03 00:16:53,0.174,personal_tone
464,human,education,my personal opinion on education is that adoption increases with better education.,82,12,2.74,0.85,author_49,2023-10-15 01:08:05,0.119,personal_tone
496,ai,lifestyle,analysis indicates that lifestyle is associated with it requires more data for conclusive evidence.,99,14,3.14,0.28,claude-2,2024-04-17 08:48:12,0.11,personal_tone
426,human,sports,my personal opinion on sports is that it improves efficiency significantly.,75,11,3.48,-0.11,author_87,2024-12-15 08:02:20,0.054,personal_tone
251,ai,lifestyle,a concise overview of lifestyle: the results are promising but preliminary.,75,11,4.99,0.56,gpt-5-base,2025-01-20 19:53:58,0.114,personal_tone
136,ai,finance,a concise overview of finance: the community response has been overwhelmingly positive.,87,12,3.17,-0.48,gpt-5-base,2024-03-10 02:52:25,0.065,personal_tone
261,human,technology,i recently experienced technology in my day-to-day life and found that the community response has been overwhelmingly positive. community feedback will shape future developments.,178,24,4.04,0.14,author_28,2024-01-27 15:32:03,0.06,personal_tone
118,human,entertainment,"after trying several approaches related to entertainment, i noticed the community response has been overwhelmingly positive.",124,16,2.8,-0.18,author_7,2024-02-23 12:19:10,0.238,personal_tone
188,ai,education,this article discusses education and highlights that costs can vary greatly depending on implementation.,104,14,2.73,0.49,claude-2,2023-07-15 01:52:35,0.04,personal_tone
416,ai,technology,the following summary on technology shows costs can vary greatly depending on implementation. the community response has been overwhelmingly positive,149,20,4.82,0.65,claude-2,2024-04-24 23:15:44,0.009,personal_tone
166,ai,science,the following summary on science shows it requires more data for conclusive evidence. community feedback will shape future developments.,136,19,2.63,0.76,gpt-4o-mini,2023-08-20 23:13:36,0.035,personal_tone
224,ai,sports,a concise overview of sports: the community response has been overwhelmingly positive. community feedback will shape future developments. it requires more data for conclusive evidence,183,25,2.58,-0.26,claude-2,2023-10-23 06:07:27,0.117,personal_tone
445,ai,food,the following summary on food shows the community response has been overwhelmingly positive.,92,13,4.02,0.64,claude-2,2025-01-07 11:23:32,0.059,personal_tone
286,human,health,i recently experienced health in my day-to-day life and found that adoption increases with better education.,108,16,4.58,0.72,author_74,2023-09-28 13:56:46,0.229,personal_tone
492,human,entertainment,"as someone who follows entertainment, i believe costs can vary greatly depending on implementation.",99,14,3.2,0.6,author_11,2025-06-01 01:12:17,0.12,personal_tone
477,ai,health,the following summary on health shows costs can vary greatly depending on implementation.,89,13,4.46,0.05,gpt-5-base,2025-03-17 12:27:32,0.082,personal_tone
478,human,health,"in my experience, health often leads to adoption increases with better education. community feedback will shape future developments.",132,18,3.44,0.63,author_9,2023-06-30 11:12:54,0.335,personal_tone
481,ai,sports,this article discusses sports and highlights that costs can vary greatly depending on implementation.,101,14,3.78,0.67,claude-2,2025-05-22 10:42:39,0.009,personal_tone
418,ai,education,research-style summary on education suggests the results are promising but preliminary.,87,11,4.87,0.24,claude-2,2024-07-25 15:06:59,0.112,personal_tone
423,human,travel,"after trying several approaches related to travel, i noticed costs can vary greatly depending on implementation. this could change as new data becomes available.",161,24,1.82,-0.0,author_93,2025-07-28 07:54:59,0.257,personal_tone
193,human,education,"as someone who follows education, i believe costs can vary greatly depending on implementation.",95,14,3.25,0.38,author_63,2024-12-02 12:17:25,0.09,personal_tone
93,ai,technology,analysis indicates that technology is associated with it can be optimized with simple heuristics. i would love to hear others' thoughts on this.,144,23,4.56,-0.46,gpt-4o-mini,2023-08-06 23:21:49,0.096,personal_tone
222,ai,finance,research-style summary on finance suggests the community response has been overwhelmingly positive.,99,12,5.0,0.23,llama-3-small,2024-05-16 10:30:58,0.021,personal_tone
111,ai,finance,a concise overview of finance: adoption increases with better education.,72,10,2.72,0.67,claude-2,2023-09-07 15:51:44,0.088,personal_tone
239,human,science,"after trying several approaches related to science, i noticed adoption increases with better education.",103,14,4.79,-0.56,author_27,2025-05-17 23:58:18,0.307,personal_tone
439,human,sports,"after trying several approaches related to sports, i noticed it requires more data for conclusive evidence.",107,16,2.22,-0.39,author_40,2024-07-08 07:21:57,0.302,personal_tone
476,human,sports,my personal opinion on sports is that there are trade-offs to consider. privacy concerns remain a top challenge the community response has been overwhelmingly positive,167,25,2.9,0.02,author_62,2024-09-27 08:52:21,0.192,personal_tone
59,human,science,"as someone who follows science, i believe it requires more data for conclusive evidence.",88,14,1.86,-0.58,author_44,2023-10-19 17:05:24,0.168,personal_tone
381,ai,food,the following summary on food shows costs can vary greatly depending on implementation.,87,13,4.87,0.42,gpt-5-base,2025-07-20 06:55:25,0.075,personal_tone
79,human,entertainment,my personal opinion on entertainment is that users report a mixed set of outcomes. it requires more data for conclusive evidence,128,21,2.75,0.05,author_88,2023-09-08 19:20:21,0.144,personal_tone
380,ai,science,this article discusses science and highlights that privacy concerns remain a top challenge.,91,13,3.22,-0.0,gpt-5-base,2025-02-05 12:27:05,0.011,personal_tone
248,human,technology,"as someone who follows technology, i believe it improves efficiency significantly. this could change as new data becomes available.",131,19,2.03,0.8,author_92,2025-05-28 01:17:15,0.194,personal_tone
208,ai,travel,a concise overview of travel: the results are promising but preliminary.,72,11,2.77,-0.14,claude-2,2025-08-29 14:24:24,0.05,personal_tone
102,ai,food,this article discusses food and highlights that it can be optimized with simple heuristics.,91,14,3.38,0.27,gpt-5-base,2023-08-06 05:38:00,0.099,personal_tone
393,human,food,my personal opinion on food is that costs can vary greatly depending on implementation.,87,14,2.88,0.73,author_67,2025-03-10 13:13:20,0.262,personal_tone
424,ai,entertainment,a concise overview of entertainment: users report a mixed set of outcomes.,74,12,3.94,0.76,claude-2,2024-09-01 23:23:01,0.045,personal_tone
489,ai,lifestyle,a concise overview of lifestyle: costs can vary greatly depending on implementation.,84,12,3.24,-0.35,claude-2,2024-12-12 21:45:33,0.112,personal_tone
257,ai,health,the following summary on health shows there are trade-offs to consider.,71,11,4.26,0.3,gpt-5-base,2023-08-09 11:56:04,0.022,personal_tone
181,ai,science,the following summary on science shows users report a mixed set of outcomes.,76,13,4.95,0.09,bloomz-7b,2025-01-06 19:49:21,0.064,personal_tone
437,human,science,i recently experienced science in my day-to-day life and found that it requires more data for conclusive evidence.,114,18,4.62,0.62,author_29,2023-01-31 20:12:17,0.332,personal_tone
19,ai,education,this article discusses education and highlights that it can be optimized with simple heuristics. i would love to hear others' thoughts on this.,143,23,3.16,0.58,claude-2,2024-04-10 10:23:08,0.063,personal_tone
41,ai,science,the following summary on science shows the community response has been overwhelmingly positive.,95,13,3.15,-0.23,claude-2,2024-10-14 10:05:47,0.115,personal_tone
422,human,food,my personal opinion on food is that it improves efficiency significantly.,73,11,3.5,0.26,author_20,2023-04-07 01:22:26,0.161,personal_tone
42,ai,education,a concise overview of education: it requires more data for conclusive evidence. this could change as new data becomes available.,128,20,3.34,0.74,bloomz-7b,2023-03-24 05:02:16,0.023,personal_tone
160,ai,lifestyle,the following summary on lifestyle shows adoption increases with better education.,82,11,2.93,0.34,gpt-5-base,2024-09-26 13:50:32,0.022,personal_tone
287,ai,technology,analysis indicates that technology is associated with users report a mixed set of outcomes.,91,14,4.2,0.0,gpt-4o-mini,2024-02-10 12:04:09,0.104,personal_tone
291,human,education,"in my experience, education often leads to it improves efficiency significantly. this could change as new data becomes available.",129,19,2.46,0.64,author_16,2024-06-01 14:27:08,0.222,personal_tone
497,human,science,"as someone who follows science, i believe costs can vary greatly depending on implementation. there are trade-offs to consider",126,19,1.54,-0.45,author_93,2023-04-17 16:14:10,0.123,personal_tone
342,ai,science,this article discusses science and highlights that there are trade-offs to consider. community feedback will shape future developments.,135,18,4.07,-0.28,bloomz-7b,2024-10-06 07:45:41,0.13,personal_tone
81,ai,entertainment,this article discusses entertainment and highlights that it requires more data for conclusive evidence.,103,14,3.22,0.22,claude-2,2023-03-17 16:04:58,0.142,personal_tone
47,ai,sports,this article discusses sports and highlights that it requires more data for conclusive evidence.,96,14,2.63,0.83,gpt-4o-mini,2023-08-18 23:40:15,0.01,personal_tone
457,ai,entertainment,this article discusses entertainment and highlights that users report a mixed set of outcomes.,94,14,3.82,0.19,gpt-4o-mini,2024-12-13 07:36:40,0.092,personal_tone
94,human,food,"as someone who follows food, i believe the results are promising but preliminary.",81,13,4.4,0.23,author_30,2024-08-23 07:51:45,0.285,personal_tone
447,ai,science,the following summary on science shows it improves efficiency significantly.,76,10,3.26,0.64,claude-2,2024-04-17 06:03:41,0.063,personal_tone
82,ai,sports,a concise overview of sports: it requires more data for conclusive evidence.,76,12,3.46,0.12,claude-2,2023-08-31 13:53:06,0.086,personal_tone
373,human,lifestyle,"in my experience, lifestyle often leads to it improves efficiency significantly.",80,11,3.8,-0.17,author_100,2025-09-13 21:45:11,0.02,personal_tone
326,ai,health,this article discusses health and highlights that it can be optimized with simple heuristics.,93,14,3.97,0.56,claude-2,2024-04-06 16:39:10,0.099,personal_tone
452,human,sports,my personal opinion on sports is that it requires more data for conclusive evidence.,84,14,2.51,-0.33,author_1,2025-07-09 04:47:25,0.336,personal_tone
455,human,finance,"after trying several approaches related to finance, i noticed it improves efficiency significantly.",99,13,4.72,-0.53,author_37,2024-03-02 06:29:23,0.056,personal_tone
376,human,health,my personal opinion on health is that privacy concerns remain a top challenge.,78,13,3.54,-0.08,author_25,2025-04-15 10:04:02,0.079,personal_tone
226,human,sports,"as someone who follows sports, i believe there are trade-offs to consider.",74,12,3.07,-0.08,author_16,2025-04-16 03:10:01,0.154,personal_tone
140,ai,food,a concise overview of food: costs can vary greatly depending on implementation.,79,12,3.82,-0.0,gpt-4o-mini,2024-10-27 10:08:48,0.037,personal_tone
107,human,food,i recently experienced food in my day-to-day life and found that it can be optimized with simple heuristics.,108,18,3.2,0.4,author_77,2023-02-16 08:01:43,0.138,personal_tone
233,human,technology,"in my experience, technology often leads to there are trade-offs to consider. further investigation is warranted.",113,16,1.5,0.84,author_39,2023-07-27 04:48:10,0.309,personal_tone
292,human,education,"in my experience, education often leads to costs can vary greatly depending on implementation.",94,14,4.55,0.28,author_34,2023-12-25 12:32:01,0.057,personal_tone
205,ai,food,this article discusses food and highlights that there are trade-offs to consider. this could change as new data becomes available.,130,20,4.4,-0.45,claude-2,2023-03-31 06:49:21,0.065,personal_tone
332,human,science,i recently experienced science in my day-to-day life and found that there are trade-offs to consider. the results are promising but preliminary,143,22,2.43,0.58,author_8,2023-10-21 09:07:21,0.051,personal_tone
198,ai,lifestyle,the following summary on lifestyle shows the results are promising but preliminary.,83,12,2.7,0.89,bloomz-7b,2024-10-27 01:09:12,0.014,personal_tone
96,human,technology,"as someone who follows technology, i believe costs can vary greatly depending on implementation. it improves efficiency significantly users report a mixed set of outcomes",170,25,4.1,0.19,author_100,2025-02-02 02:18:50,0.167,personal_tone
123,human,lifestyle,"as someone who follows lifestyle, i believe it can be optimized with simple heuristics. community feedback will shape future developments.",138,20,2.08,0.06,author_31,2024-02-25 13:15:49,0.237,personal_tone
24,human,education,my personal opinion on education is that costs can vary greatly depending on implementation. community feedback will shape future developments.,143,20,3.64,0.88,author_71,2024-10-31 19:15:29,0.003,personal_tone
14,ai,entertainment,a concise overview of entertainment: privacy concerns remain a top challenge. further investigation is warranted. adoption increases with better education,154,20,3.88,0.28,gpt-4o-mini,2023-01-08 02:35:05,0.106,personal_tone
299,human,science,my personal opinion on science is that the community response has been overwhelmingly positive.,95,14,4.44,0.71,author_17,2023-07-05 10:41:46,0.034,personal_tone
40,ai,technology,the following summary on technology shows privacy concerns remain a top challenge. the community response has been overwhelmingly positive,138,19,4.17,0.88,bloomz-7b,2024-09-01 11:33:08,0.143,personal_tone
361,ai,lifestyle,the following summary on lifestyle shows there are trade-offs to consider.,74,11,2.78,0.41,bloomz-7b,2024-05-05 07:40:17,0.089,personal_tone
259,human,health,i recently experienced health in my day-to-day life and found that the community response has been overwhelmingly positive. it improves efficiency significantly,160,22,4.41,0.87,author_48,2023-05-14 07:12:49,0.288,personal_tone
243,human,science,"after trying several approaches related to science, i noticed privacy concerns remain a top challenge. i would love to hear others' thoughts on this.",149,24,3.29,-0.3,author_51,2025-04-07 05:39:25,0.188,personal_tone
173,human,technology,"in my experience, technology often leads to there are trade-offs to consider.",77,12,3.26,0.74,author_82,2024-12-21 11:19:20,0.242,personal_tone
99,ai,sports,research-style summary on sports suggests adoption increases with better education.,83,10,3.58,0.59,claude-2,2023-04-28 23:50:14,0.098,personal_tone
293,human,travel,"in my experience, travel often leads to it improves efficiency significantly. community feedback will shape future developments.",128,17,2.25,-0.27,author_53,2023-08-19 07:31:36,0.094,personal_tone
245,human,health,"as someone who follows health, i believe it improves efficiency significantly.",78,11,4.84,0.18,author_17,2025-03-12 09:26:20,0.058,personal_tone
352,ai,entertainment,analysis indicates that entertainment is associated with the community response has been overwhelmingly positive.,113,14,2.77,0.37,gpt-5-base,2023-03-25 10:13:00,0.129,personal_tone
377,ai,sports,this article discusses sports and highlights that adoption increases with better education.,91,12,2.77,-0.49,claude-2,2023-10-29 12:22:40,0.142,personal_tone
